id,raceId,driverId,constructorId,year,round,circuitId,lat,lng,alt,track_length_km,number_of_turns,grid,driver_age,driver_nationality_code,constructor_nationality_code,q1_ms,q2_ms,q3_ms,best_qual_ms,pit_stop_count,avg_pit_ms,rolling_avg_position,career_wins_so_far,prev_championship_points,prev_championship_position,prev_constructor_points,finishing_position
834_687,834,687,6,1950,2,6,43.58425,7.40801,7,6.83,17,21,35.52087611,9,14,,,,,,,,0,0,0,0,20
834_793,834,793,6,1950,2,6,43.58425,7.40801,7,6.83,17,9,43.72073922,19,14,,,,,,,,0,0,0,0,4
834_579,834,579,51,1950,2,6,43.58425,7.40801,7,6.83,17,1,38.90759754,2,23,,,,,,,12,0,0,13,0,1
834_642,834,642,51,1950,2,6,43.58425,7.40801,7,6.83,17,2,43.55646817,25,23,,,,,,,1,1,8.7,1,0,11
834_786,834,786,51,1950,2,6,43.58425,7.40801,7,6.83,17,5,51.94524298,25,23,,,,,,,2,0,6.1,2,0,12
834_501,834,501,87,1950,2,6,43.58425,7.40801,7,6.83,17,20,28.89253936,0,5,,,,,,,,0,0,0,0,19
834_498,834,498,105,1950,2,6,43.58425,7.40801,7,6.83,17,3,27.62491444,2,14,,,,,,,,0,0,0,0,10
834_589,834,589,105,1950,2,6,43.58425,7.40801,7,6.83,17,8,50.79534565,30,14,,,,,,,18,0,0,19,0,3
834_640,834,640,105,1950,2,6,43.58425,7.40801,7,6.83,17,12,36.00821355,39,14,,,,,,,17,0,0,18,0,15
834_669,834,669,105,1950,2,6,43.58425,7.40801,7,6.83,17,15,35.84941821,40,14,,,,,,,14,0,0,15,0,5
834_762,834,762,105,1950,2,6,43.58425,7.40801,7,6.83,17,17,41.95756331,25,14,,,,,,,,0,0,0,0,18
834_792,834,792,105,1950,2,6,43.58425,7.40801,7,6.83,17,18,37.5797399,2,14,,,,,,,,0,0,0,0,21
834_427,834,427,141,1950,2,6,43.58425,7.40801,7,6.83,17,13,32.55578371,19,9,,,,,,,,0,0,0,0,16
834_626,834,626,141,1950,2,6,43.58425,7.40801,7,6.83,17,11,33.10609172,19,9,,,,,,,,0,0,0,0,14
834_619,834,619,151,1950,2,6,43.58425,7.40801,7,6.83,17,16,36.3340178,9,5,,,,,,,6,0,0,6,0,6
834_787,834,787,151,1950,2,6,43.58425,7.40801,7,6.83,17,14,43.87405886,9,5,,,,,,,7,0,0,7,0,17
834_627,834,627,154,1950,2,6,43.58425,7.40801,7,6.83,17,10,44.53935661,19,9,,,,,,,5,0,2,5,0,13
834_660,834,660,154,1950,2,6,43.58425,7.40801,7,6.83,17,19,33.77412731,7,9,,,,,,,11,0,0,12,0,7
834_741,834,741,154,1950,2,6,43.58425,7.40801,7,6.83,17,4,53.3908282,19,9,,,,,,,8,0,0,8,0,9
835_677,835,677,105,1950,3,19,39.76792,-86.22935,223,6.06,14,14,39.64134155,0,14,,,,,,,,0,0,0,0,20
835_731,835,731,105,1950,3,19,39.76792,-86.22935,223,6.06,14,21,36.95824778,0,14,,,,,,,,0,0,0,0,25
835_537,835,537,107,1950,3,19,39.76792,-86.22935,223,6.06,14,18,26.39561944,0,0,,,,,,,,0,0,0,0,32
835_526,835,526,110,1950,3,19,39.76792,-86.22935,223,6.06,14,24,20.21902806,0,0,,,,,,,,0,0,0,0,15
835_726,835,726,110,1950,3,19,39.76792,-86.22935,223,6.06,14,4,43.78644764,0,0,,,,,,,,0,0,0,0,8
835_559,835,559,113,1950,3,19,39.76792,-86.22935,223,6.06,14,11,24.39425051,0,0,,,,,,,,0,0,0,0,10
835_593,835,593,113,1950,3,19,39.76792,-86.22935,223,6.06,14,5,31.90417522,0,0,,,,,,,,0,0,0,0,1
835_611,835,611,113,1950,3,19,39.76792,-86.22935,223,6.06,14,25,35.87953457,0,0,,,,,,,,0,0,0,0,30
835_615,835,615,113,1950,3,19,39.76792,-86.22935,223,6.06,14,2,36.77207392,0,0,,,,,,,,0,0,0,0,28
835_630,835,630,113,1950,3,19,39.76792,-86.22935,223,6.06,14,7,37.13620808,0,0,,,,,,,,0,0,0,0,33
835_654,835,654,113,1950,3,19,39.76792,-86.22935,223,6.06,14,1,30.28336756,0,0,,,,,,,,0,0,0,0,7
835_658,835,658,113,1950,3,19,39.76792,-86.22935,223,6.06,14,6,30.64202601,0,0,,,,,,,,0,0,0,0,14
835_659,835,659,113,1950,3,19,39.76792,-86.22935,223,6.06,14,15,21.33059548,0,0,,,,,,,,0,0,0,0,21
835_732,835,732,113,1950,3,19,39.76792,-86.22935,223,6.06,14,33,35.33196441,0,0,,,,,,,,0,0,0,0,18
835_770,835,770,113,1950,3,19,39.76792,-86.22935,223,6.06,14,12,30.66392882,0,0,,,,,,,,0,0,0,0,4
835_771,835,771,113,1950,3,19,39.76792,-86.22935,223,6.06,14,20,38.41478439,0,0,,,,,,,,0,0,0,0,19
835_772,835,772,113,1950,3,19,39.76792,-86.22935,223,6.06,14,26,34.70773443,0,0,,,,,,,,0,0,0,0,13
835_794,835,794,113,1950,3,19,39.76792,-86.22935,223,6.06,14,9,38.12457221,0,0,,,,,,,,0,0,0,0,5
835_799,835,799,113,1950,3,19,39.76792,-86.22935,223,6.06,14,32,39.84668036,0,0,,,,,,,,0,0,0,0,29
835_653,835,653,116,1950,3,19,39.76792,-86.22935,223,6.06,14,27,20.80766598,0,0,,,,,,,,0,0,0,0,17
835_766,835,766,119,1950,3,19,39.76792,-86.22935,223,6.06,14,23,39.72621492,0,0,,,,,,,,0,0,0,0,6
835_518,835,518,129,1950,3,19,39.76792,-86.22935,223,6.06,14,13,37.06776181,0,0,,,,,,,,0,0,0,0,12
835_555,835,555,138,1950,3,19,39.76792,-86.22935,223,6.06,14,19,36.13689254,0,0,,,,,,,,0,0,0,0,9
835_529,835,529,150,1950,3,19,39.76792,-86.22935,223,6.06,14,8,33.71115674,0,0,,,,,,,,0,0,0,0,31
835_701,835,701,150,1950,3,19,39.76792,-86.22935,223,6.06,14,10,42.4476386,0,0,,,,,,,,0,0,0,0,2
835_768,835,768,150,1950,3,19,39.76792,-86.22935,223,6.06,14,3,44.0109514,0,0,,,,,,,,0,0,0,0,3
835_795,835,795,156,1950,3,19,39.76792,-86.22935,223,6.06,14,16,37.94934976,0,0,,,,,,,,0,0,0,0,11
835_520,835,520,157,1950,3,19,39.76792,-86.22935,223,6.06,14,31,24.3340178,0,0,,,,,,,,0,0,0,0,16
835_796,835,796,158,1950,3,19,39.76792,-86.22935,223,6.06,14,29,36.45448323,0,0,,,,,,,,0,0,0,0,22
835_797,835,797,159,1950,3,19,39.76792,-86.22935,223,6.06,14,30,29.73305955,0,0,,,,,,,,0,0,0,0,23
835_509,835,509,160,1950,3,19,39.76792,-86.22935,223,6.06,14,28,21.86995209,0,0,,,,,,,,0,0,0,0,24
835_798,835,798,161,1950,3,19,39.76792,-86.22935,223,6.06,14,17,36.28747433,0,0,,,,,,,,0,0,0,0,27
835_803,835,803,161,1950,3,19,39.76792,-86.22935,223,6.06,14,17,42.32717317,0,0,,,,,,,,0,0,0,0,27
835_729,835,729,162,1950,3,19,39.76792,-86.22935,223,6.06,14,22,41.23203285,0,0,,,,,,,,0,0,0,0,26
836_633,836,633,6,1950,4,66,46.97895,7.40174,551,5.6,17,4,41.0513347,25,14,,,,,,,8,0,0,18,0,16
836_647,836,647,6,1950,4,66,46.97895,7.40174,551,5.6,17,5,31.89322382,25,14,,,,,,,2,0,5.9,4,0,17
836_793,836,793,6,1950,4,66,46.97895,7.40174,551,5.6,17,13,43.75906913,19,14,,,,,,,4,0,3,8,0,15
836_579,836,579,51,1950,4,66,46.97895,7.40174,551,5.6,17,1,38.94592745,2,23,,,,,,,6.5,1,9.2,2,0,12
836_642,836,642,51,1950,4,66,46.97895,7.40174,551,5.6,17,2,43.59479808,25,23,,,,,,,6,1,9,1,0,1
836_786,836,786,51,1950,4,66,46.97895,7.40174,551,5.6,17,3,51.9835729,25,23,,,,,,,7,0,5.9,3,0,2
836_589,836,589,105,1950,4,66,46.97895,7.40174,551,5.6,17,16,50.83367556,30,14,,,,,,,10.5,0,4,5,0,9
836_640,836,640,105,1950,4,66,46.97895,7.40174,551,5.6,17,11,36.04654346,39,14,,,,,,,16,0,0,22,0,6
836_669,836,669,105,1950,4,66,46.97895,7.40174,551,5.6,17,8,35.88774812,40,14,,,,,,,9.5,0,2,10,0,4
836_697,836,697,105,1950,4,66,46.97895,7.40174,551,5.6,17,12,46.98699521,25,14,,,,,,,,0,0,0,0,5
836_780,836,780,105,1950,4,66,46.97895,7.40174,551,5.6,17,17,33.71663244,39,14,,,,,,,,0,0,0,0,11
836_800,836,800,105,1950,4,66,46.97895,7.40174,551,5.6,17,15,38.64750171,25,14,,,,,,,,0,0,0,0,7
836_501,836,501,154,1950,4,66,46.97895,7.40174,551,5.6,17,18,28.93086927,0,9,,,,,,,19,0,0,28,0,8
836_627,836,627,154,1950,4,66,46.97895,7.40174,551,5.6,17,10,44.57768652,19,9,,,,,,,9,0,2,9,0,3
836_660,836,660,154,1950,4,66,46.97895,7.40174,551,5.6,17,14,33.81245722,7,9,,,,,,,9,0,0,12,0,10
836_704,836,704,154,1950,4,66,46.97895,7.40174,551,5.6,17,7,45.65366188,19,9,,,,,,,4,0,3,4,0,18
836_741,836,741,154,1950,4,66,46.97895,7.40174,551,5.6,17,6,53.42915811,19,9,,,,,,,8.5,0,0,14,0,13
836_789,836,789,154,1950,4,66,46.97895,7.40174,551,5.6,17,9,35.19780972,19,9,,,,,,,19,0,0,20,0,14
837_633,837,633,6,1950,5,13,50.60487,5.96973,401,4.05,16,4,41.08966461,25,14,,,,,,,12,0,0,48,0,6
837_647,837,647,6,1950,5,13,50.60487,5.96973,401,4.05,16,7,31.93155373,25,14,,,,,,,9.5,0,6.1,5,0,5
837_579,837,579,51,1950,5,13,50.60487,5.96973,401,4.05,16,2,38.98425736,2,23,,,,,,,8.333333333,1,9.2,3,0,1
837_642,837,642,51,1950,5,13,50.60487,5.96973,401,4.05,16,1,43.63312799,25,23,,,,,,,4.333333333,2,18.3,1,0,4
837_786,837,786,51,1950,5,13,50.60487,5.96973,401,4.05,16,3,52.02190281,25,23,,,,,,,5.333333333,0,12.3,2,0,2
837_780,837,780,105,1950,5,13,50.60487,5.96973,401,4.05,16,11,33.75496235,39,14,,,,,,,11,0,0,33,0,10
837_785,837,785,126,1950,5,13,50.60487,5.96973,401,4.05,16,12,29.10335387,9,5,,,,,,,16,0,0,17,0,9
837_627,837,627,154,1950,5,13,50.60487,5.96973,401,4.05,16,8,44.61601643,19,9,,,,,,,7,0,6,7,0,3
837_660,837,660,154,1950,5,13,50.60487,5.96973,401,4.05,16,14,33.85078713,7,9,,,,,,,9.333333333,0,0,21,0,8
837_704,837,704,154,1950,5,13,50.60487,5.96973,401,4.05,16,9,45.69199179,19,9,,,,,,,11,0,3,13,0,14
837_741,837,741,154,1950,5,13,50.60487,5.96973,401,4.05,16,6,53.46748802,19,9,,,,,,,10,0,0,25,0,13
837_773,837,773,154,1950,5,13,50.60487,5.96973,401,4.05,16,10,44.48733744,19,9,,,,,,,,0,0,0,0,7
837_774,837,774,154,1950,5,13,50.60487,5.96973,401,4.05,16,13,43.18412047,19,9,,,,,,,,0,0,0,0,11
837_793,837,793,154,1950,5,13,50.60487,5.96973,401,4.05,16,5,43.79739904,19,9,,,,,,,9.5,0,2.9,12,0,12
838_687,838,687,6,1950,6,55,49.30242,3.91991,88,4.05,19,18,35.63586585,9,14,,,,,,,20,0,0,31,0,3
838_579,838,579,51,1950,6,55,49.30242,3.91991,88,4.05,19,1,39.02258727,2,23,,,,,,,4.666666667,2,17.1,3,0,1
838_642,838,642,51,1950,6,55,49.30242,3.91991,88,4.05,19,2,43.67145791,25,23,,,,,,,5.333333333,2,21.5,1,0,7
838_786,838,786,51,1950,6,55,49.30242,3.91991,88,4.05,19,3,52.06023272,25,23,,,,,,,5.333333333,0,18.2,2,0,2
838_498,838,498,105,1950,6,55,49.30242,3.91991,88,4.05,19,8,27.73990418,2,14,,,,,,,10,0,0,19,0,18
838_589,838,589,105,1950,6,55,49.30242,3.91991,88,4.05,19,13,50.91033539,30,14,,,,,,,10,0,3.9,9,0,15
838_686,838,686,105,1950,6,55,49.30242,3.91991,88,4.05,19,11,39.00068446,9,14,,,,,,,3,0,4,3,0,13
838_697,838,697,105,1950,6,55,49.30242,3.91991,88,4.05,19,10,47.06365503,25,14,,,,,,,5,0,2,15,0,10
838_762,838,762,105,1950,6,55,49.30242,3.91991,88,4.05,19,7,42.07255305,25,14,,,,,,,18,0,0,26,0,14
838_784,838,784,105,1950,6,55,49.30242,3.91991,88,4.05,19,17,32.5065024,9,14,,,,,,,9,0,0,9,0,16
838_626,838,626,141,1950,6,55,49.30242,3.91991,88,4.05,19,12,33.22108145,19,9,,,,,,,14,0,0,21,0,4
838_627,838,627,154,1950,6,55,49.30242,3.91991,88,4.05,19,6,44.65434634,19,9,,,,,,,6.333333333,0,10.3,4,0,12
838_660,838,660,154,1950,6,55,49.30242,3.91991,88,4.05,19,14,33.88911704,7,9,,,,,,,8.333333333,0,0,22,0,11
838_704,838,704,154,1950,6,55,49.30242,3.91991,88,4.05,19,5,45.7303217,19,9,,,,,,,12,0,2.9,13,0,8
838_741,838,741,154,1950,6,55,49.30242,3.91991,88,4.05,19,4,53.50581793,19,9,,,,,,,11.66666667,0,0,27,0,5
838_773,838,773,154,1950,6,55,49.30242,3.91991,88,4.05,19,9,44.52566735,19,9,,,,,,,7,0,0,25,0,9
838_774,838,774,154,1950,6,55,49.30242,3.91991,88,4.05,19,4,43.22245038,19,9,,,,,,,11,0,0,52,0,5
838_793,838,793,154,1950,6,55,49.30242,3.91991,88,4.05,19,16,43.83572895,19,9,,,,,,,10.33333333,0,3,12,0,17
838_801,838,801,154,1950,6,55,49.30242,3.91991,88,4.05,19,15,40.84599589,19,9,,,,,,,,0,0,0,0,6
839_647,839,647,6,1950,7,14,45.48438,9.2458,162,3.7,14,2,32.14236824,25,14,,,,,,,8,0,8.2,6,0,17
839_687,839,687,6,1950,7,14,45.48438,9.2458,162,3.7,14,18,35.80835044,9,14,,,,,,,11.5,0,4.1,11,0,7
839_791,839,791,6,1950,7,14,45.48438,9.2458,162,3.7,14,25,52.04106776,25,14,,,,,,,,0,0,0,0,18
839_802,839,802,6,1950,7,14,45.48438,9.2458,162,3.7,14,6,41.11704312,25,14,,,,,,,,0,0,0,0,2
839_579,839,579,51,1950,7,14,45.48438,9.2458,162,3.7,14,1,39.19507187,2,23,,,,,,,4.666666667,3,26.6,1,0,15
839_641,839,641,51,1950,7,14,45.48438,9.2458,162,3.7,14,7,43.89322382,25,23,,,,,,,,0,0,0,0,13
839_642,839,642,51,1950,7,14,45.48438,9.2458,162,3.7,14,3,43.84394251,25,23,,,,,,,4,2,21.7,3,0,1
839_763,839,763,51,1950,7,14,45.48438,9.2458,162,3.7,14,4,39.43600274,25,23,,,,,,,,0,0,0,0,23
839_786,839,786,51,1950,7,14,45.48438,9.2458,162,3.7,14,5,52.23271732,25,23,,,,,,,2,0,23.7,2,0,3
839_589,839,589,105,1950,7,14,45.48438,9.2458,162,3.7,14,19,51.08281999,30,14,,,,,,,9,0,3.9,9,0,22
839_640,839,640,105,1950,7,14,45.48438,9.2458,162,3.7,14,17,36.29568789,39,14,,,,,,,12.66666667,0,0,19,0,6
839_669,839,669,105,1950,7,14,45.48438,9.2458,162,3.7,14,15,36.13689254,40,14,,,,,,,7.666666667,0,5,8,0,25
839_740,839,740,105,1950,7,14,45.48438,9.2458,162,3.7,14,26,44.11225188,25,14,,,,,,,,0,0,0,0,20
839_747,839,747,105,1950,7,14,45.48438,9.2458,162,3.7,14,24,40.68172485,9,14,,,,,,,15,0,0,16,0,8
839_756,839,756,105,1950,7,14,45.48438,9.2458,162,3.7,14,27,39.20602327,20,14,,,,,,,,0,0,0,0,26
839_762,839,762,105,1950,7,14,45.48438,9.2458,162,3.7,14,9,42.24503765,25,14,,,,,,,16,0,0,57,0,12
839_427,839,427,141,1950,7,14,45.48438,9.2458,162,3.7,14,12,32.84325804,19,9,,,,,,,16,0,0,25,0,21
839_626,839,626,141,1950,7,14,45.48438,9.2458,162,3.7,14,10,33.39356605,19,9,,,,,,,9,0,3,15,0,24
839_787,839,787,151,1950,7,14,45.48438,9.2458,162,3.7,14,21,44.1615332,9,5,,,,,,,12,0,0,13,0,9
839_627,839,627,154,1950,7,14,45.48438,9.2458,162,3.7,14,13,44.82683094,19,9,,,,,,,6,0,10,4,0,4
839_660,839,660,154,1950,7,14,45.48438,9.2458,162,3.7,14,22,34.06160164,7,9,,,,,,,9.666666667,0,0,27,0,16
839_741,839,741,154,1950,7,14,45.48438,9.2458,162,3.7,14,16,53.67830253,19,9,,,,,,,10.33333333,0,1,18,0,5
839_764,839,764,154,1950,7,14,45.48438,9.2458,162,3.7,14,11,40.06570842,19,9,,,,,,,,0,0,0,0,11
839_765,839,765,154,1950,7,14,45.48438,9.2458,162,3.7,14,16,40.60506502,19,9,,,,,,,,0,0,0,0,19
839_773,839,773,154,1950,7,14,45.48438,9.2458,162,3.7,14,20,44.69815195,19,9,,,,,,,8,0,0,28,0,14
839_793,839,793,154,1950,7,14,45.48438,9.2458,162,3.7,14,8,44.00821355,19,9,,,,,,,14.66666667,0,3,14,0,10
839_697,839,697,163,1950,7,14,45.48438,9.2458,162,3.7,14,23,47.23613963,25,14,,,,,,,7.5,0,2,17,0,27
825_633,825,633,6,1951,1,66,46.97895,7.40174,551,5.6,17,3,42.02874743,25,14,,,,,,,10,0,0,19,0,19
825_641,825,641,6,1951,1,66,46.97895,7.40174,551,5.6,17,6,44.62149213,25,14,,,,,,,13,0,0,61,0,2
825_647,825,647,6,1951,1,66,46.97895,7.40174,551,5.6,17,7,32.87063655,25,14,,,,,,,13,0,11.1,5,0,6
825_687,825,687,6,1951,1,66,46.97895,7.40174,551,5.6,17,9,36.53661875,9,14,,,,,,,10,0,4,9,0,15
825_723,825,723,6,1951,1,66,46.97895,7.40174,551,5.6,17,10,39.10198494,39,14,,,,,,,,0,0,0,0,11
825_579,825,579,51,1951,1,66,46.97895,7.40174,551,5.6,17,1,39.92334018,2,23,,,,,,,5.666666667,3,26.4,2,0,1
825_640,825,640,51,1951,1,66,46.97895,7.40174,551,5.6,17,5,37.02395619,39,23,,,,,,,9,0,0,23,0,5
825_642,825,642,51,1951,1,66,46.97895,7.40174,551,5.6,17,2,44.57221081,25,23,,,,,,,4,3,30.5,1,0,3
825_763,825,763,51,1951,1,66,46.97895,7.40174,551,5.6,17,4,40.16427105,25,23,,,,,,,23,0,0,71,0,4
825_501,825,501,105,1951,1,66,46.97895,7.40174,551,5.6,17,17,29.908282,0,14,,,,,,,13.5,0,0,26,0,12
825_589,825,589,105,1951,1,66,46.97895,7.40174,551,5.6,17,19,51.8110883,30,14,,,,,,,15.33333333,0,4.1,10,0,7
825_475,825,475,133,1951,1,66,46.97895,7.40174,551,5.6,17,14,21.68925394,9,5,,,,,,,,0,0,0,0,8
825_725,825,725,133,1951,1,66,46.97895,7.40174,551,5.6,17,20,38.18206708,9,5,,,,,,,,0,0,0,0,17
825_721,825,721,144,1951,1,66,46.97895,7.40174,551,5.6,17,16,41.15811088,39,10,,,,,,,,0,0,0,0,21
825_498,825,498,154,1951,1,66,46.97895,7.40174,551,5.6,17,13,28.64065708,2,9,,,,,,,14,0,0,55,0,20
825_627,825,627,154,1951,1,66,46.97895,7.40174,551,5.6,17,8,45.55509925,19,9,,,,,,,6.333333333,0,13,4,0,9
825_660,825,660,154,1951,1,66,46.97895,7.40174,551,5.6,17,18,34.78986995,7,9,,,,,,,11.66666667,0,0,28,0,13
825_704,825,704,154,1951,1,66,46.97895,7.40174,551,5.6,17,15,46.63107461,19,9,,,,,,,13.33333333,0,3,13,0,18
825_741,825,741,154,1951,1,66,46.97895,7.40174,551,5.6,17,12,54.40657084,19,9,,,,,,,7.666666667,0,3,18,0,10
825_764,825,764,154,1951,1,66,46.97895,7.40174,551,5.6,17,21,40.79397673,19,9,,,,,,,11,0,0,58,0,14
825_765,825,765,154,1951,1,66,46.97895,7.40174,551,5.6,17,11,41.33333333,19,9,,,,,,,19,0,0,65,0,16
826_732,826,732,105,1951,2,19,39.76792,-86.22935,223,6.06,14,26,36.33127995,0,14,,,,,,,18,0,0,36,0,32
826_728,826,728,107,1951,2,19,39.76792,-86.22935,223,6.06,14,30,26.01779603,0,0,,,,,,,,0,0,0,0,33
826_726,826,726,110,1951,2,19,39.76792,-86.22935,223,6.06,14,21,44.78576318,0,0,,,,,,,8,0,0,23,0,30
826_657,826,657,111,1951,2,19,39.76792,-86.22935,223,6.06,14,20,32.45995893,0,0,,,,,,,,0,0,0,0,29
826_526,826,526,113,1951,2,19,39.76792,-86.22935,223,6.06,14,6,21.2183436,0,0,,,,,,,15,0,0,33,0,23
826_534,826,534,113,1951,2,19,39.76792,-86.22935,223,6.06,14,22,34.954141,0,0,,,,,,,,0,0,0,0,11
826_593,826,593,113,1951,2,19,39.76792,-86.22935,223,6.06,14,8,32.90349076,0,0,,,,,,,1,1,8.8,3,0,21
826_611,826,611,113,1951,2,19,39.76792,-86.22935,223,6.06,14,12,36.8788501,0,0,,,,,,,30,0,0,64,0,12
826_615,826,615,113,1951,2,19,39.76792,-86.22935,223,6.06,14,11,37.77138946,0,0,,,,,,,28,0,0,62,0,17
826_629,826,629,113,1951,2,19,39.76792,-86.22935,223,6.06,14,18,35.3100616,0,0,,,,,,,,0,0,0,0,28
826_658,826,658,113,1951,2,19,39.76792,-86.22935,223,6.06,14,3,31.64134155,0,0,,,,,,,14,0,0,32,0,3
826_673,826,673,113,1951,2,19,39.76792,-86.22935,223,6.06,14,7,29.65639973,0,0,,,,,,,,0,0,0,0,2
826_675,826,675,113,1951,2,19,39.76792,-86.22935,223,6.06,14,3,29.60711841,0,0,,,,,,,,0,0,0,0,3
826_699,826,699,113,1951,2,19,39.76792,-86.22935,223,6.06,14,1,38.24229979,0,0,,,,,,,,0,0,0,0,10
826_700,826,700,113,1951,2,19,39.76792,-86.22935,223,6.06,14,15,36.90622861,0,0,,,,,,,,0,0,0,0,18
826_729,826,729,113,1951,2,19,39.76792,-86.22935,223,6.06,14,16,42.23134839,0,0,,,,,,,26,0,0,59,0,13
826_733,826,733,113,1951,2,19,39.76792,-86.22935,223,6.06,14,28,48.862423,0,0,,,,,,,,0,0,0,0,25
826_766,826,766,113,1951,2,19,39.76792,-86.22935,223,6.06,14,2,40.72553046,0,0,,,,,,,6,0,0,18,0,1
826_767,826,767,113,1951,2,19,39.76792,-86.22935,223,6.06,14,24,40.23819302,0,0,,,,,,,,0,0,0,0,7
826_770,826,770,113,1951,2,19,39.76792,-86.22935,223,6.06,14,10,31.66324435,0,0,,,,,,,4,0,3,11,0,22
826_771,826,771,113,1951,2,19,39.76792,-86.22935,223,6.06,14,13,39.41409993,0,0,,,,,,,19,0,0,37,0,26
826_654,826,654,114,1951,2,19,39.76792,-86.22935,223,6.06,14,14,31.28268309,0,0,,,,,,,7,0,0,21,0,15
826_731,826,731,119,1951,2,19,39.76792,-86.22935,223,6.06,14,17,37.95756331,0,0,,,,,,,25,0,0,67,0,6
826_630,826,630,134,1951,2,19,39.76792,-86.22935,223,6.06,14,32,38.13552361,0,0,,,,,,,33,0,0,66,0,24
826_734,826,734,134,1951,2,19,39.76792,-86.22935,223,6.06,14,29,25.75770021,0,0,,,,,,,,0,0,0,0,5
826_653,826,653,135,1951,2,19,39.76792,-86.22935,223,6.06,14,27,21.80698152,0,0,,,,,,,17,0,0,35,0,16
826_449,826,449,139,1951,2,19,39.76792,-86.22935,223,6.06,14,25,30.38193018,0,0,,,,,,,,0,0,0,0,27
826_612,826,612,149,1951,2,19,39.76792,-86.22935,223,6.06,14,31,29.14989733,0,0,,,,,,,,0,0,0,0,4
826_518,826,518,150,1951,2,19,39.76792,-86.22935,223,6.06,14,4,38.06707734,0,0,,,,,,,12,0,0,30,0,8
826_529,826,529,150,1951,2,19,39.76792,-86.22935,223,6.06,14,9,34.71047228,0,0,,,,,,,31,0,1,15,0,9
